time,ax,ay,az,atotal
3.116802930831909,4.99,-0.49,3.18,5.93
3.2078988552093506,2.49,3.22,2.49,4.77
3.2093520164489746,1.92,4.59,2.38,5.51
3.220471143722534,1.42,5.51,1.95,6.01
3.222442865371704,0.77,6.24,1.77,6.53
3.233834981918335,0.18,7.03,1.84,7.26
3.235585927963257,-0.25,7.65,1.8,7.86
3.2502059936523438,-0.62,8.1,1.77,8.31
3.251887083053589,-0.9,8.34,1.7,8.55
3.266981840133667,-1.18,8.44,1.55,8.66
3.2691118717193604,-1.34,8.23,1.31,8.44
3.3622360229492188,-1.46,7.84,0.96,8.03
3.3637149333953857,-1.45,7.15,0.65,7.32
3.3707659244537354,-1.43,6.42,0.51,6.59
3.372692823410034,-1.41,5.67,0.2,5.84
3.3839781284332275,-1.36,4.91,0.04,5.09
3.3860418796539307,-1.37,4.2,-0.08,4.41
3.400438070297241,-1.29,3.42,-0.3,3.66
3.402590036392212,-1.18,2.57,-0.55,2.88
3.4169750213623047,-1.13,1.69,-0.72,2.15
3.4188430309295654,-1.1,0.74,-1.18,1.77
3.5140578746795654,-1.12,-0.38,-1.89,2.22
3.516139030456543,-1.26,-1.6,-2.74,3.41
3.518281936645508,-1.53,-2.79,-3.47,4.7
3.5340819358825684,-1.54,-3.93,-3.95,5.78
3.5361199378967285,-1.88,-4.74,-4.08,6.53
3.5502078533172607,-2.38,-5.31,-3.98,7.04
3.5524909496307373,-2.63,-5.44,-4.75,7.68
3.566925048828125,-0.92,-5.66,-7.64,9.55
3.569365978240967,-0.64,-5.98,-8.38,10.31
3.5836689472198486,-0.63,-6.16,-6.92,9.28
3.6737959384918213,-0.97,-6.28,-3.91,7.46
3.675244092941284,-1.76,-5.91,-2.92,6.82
3.687466859817505,-2.07,-5.96,-1.2,6.42
3.6891191005706787,-1.03,-5.12,-0.1,5.22
3.700566053390503,-0.59,-3.91,0.21,3.95
3.7027289867401123,0.51,-3.53,0.32,3.58
3.7169148921966553,1.9,-3.45,1.19,4.11
3.7188470363616943,3.23,-3.49,2.29,5.27
3.733473062515259,4.21,-3.6,2.69,6.15
3.7355501651763916,4.76,-3.65,3.14,6.77
3.8254668712615967,4.43,-3.59,4.14,7.04
3.8272578716278076,3.0,-3.57,4.46,6.45
3.837430000305176,1.24,-3.42,4.45,5.74
3.8393659591674805,0.46,-2.82,4.56,5.38
3.8504979610443115,0.88,-1.76,4.76,5.15
3.852221965789795,0.91,-0.58,4.34,4.47
3.867016077041626,0.82,0.76,4.14,4.28
3.868839979171753,0.86,2.2,3.67,4.36
3.8833630084991455,0.88,3.54,3.07,4.76
3.885166883468628,0.72,4.85,2.78,5.63
3.976228952407837,0.45,5.99,2.46,6.49
3.977842092514038,0.09,6.99,2.25,7.34
3.987251043319702,-0.23,7.57,2.05,7.84
3.9890358448028564,-0.63,8.4,2.1,8.68
4.00049901008606,-0.83,8.73,2.05,9.0
4.002362966537476,-0.97,8.82,1.86,9.06
4.016772985458374,-0.97,8.44,1.5,8.62
4.018293142318726,-0.87,7.71,0.99,7.82
4.033406019210815,-0.61,6.55,0.57,6.6
4.035213947296143,-0.27,5.32,0.46,5.34
4.124599933624268,-0.2,4.06,0.16,4.06
4.125972032546997,-0.45,2.79,-0.02,2.82
4.137265920639038,-0.89,1.48,-0.11,1.73
4.139087915420532,-1.44,-0.14,-0.32,1.48
4.150479078292847,-1.94,-1.91,-0.58,2.78
4.152644872665405,-2.35,-3.63,-1.18,4.48
4.166918992996216,-2.65,-4.77,-1.87,5.76
4.1686389446258545,-3.35,-4.85,-3.25,6.73
4.183382987976074,-3.78,-3.77,-5.24,7.48
4.185194969177246,-3.3,-3.33,-6.35,7.89
4.27523398399353,-2.35,-3.77,-6.3,7.7
4.276669025421143,-1.61,-4.42,-5.45,7.19
4.287210941314697,-1.09,-4.89,-5.62,7.52
4.288944959640503,-1.0,-4.77,-6.01,7.73
4.300580978393555,-0.77,-4.7,-5.61,7.35
4.303105115890503,-0.28,-3.97,-4.83,6.25
4.316961050033569,0.16,-4.01,-3.98,5.65
4.318547010421753,0.42,-4.69,-3.35,5.77
4.333453893661499,1.21,-5.71,-1.0,5.92
4.335131883621216,1.2,-5.16,1.17,5.42
4.426048040390015,0.64,-3.84,1.69,4.24
4.427612066268921,0.97,-3.65,1.64,4.11
4.4372570514678955,1.1,-3.6,1.32,3.98
4.4390950202941895,1.52,-3.59,1.69,4.24
4.450485944747925,2.36,-3.41,3.45,5.39
4.452291011810303,3.58,-3.76,4.53,6.89
4.466932058334351,4.78,-3.91,4.18,7.45
4.468575954437256,5.82,-3.97,3.84,8.02
4.48339581489563,6.37,-3.56,3.77,8.21
4.485214948654175,6.23,-2.37,3.58,7.56
4.575308084487915,5.49,-0.68,3.31,6.44
4.576738119125366,4.24,1.07,3.06,5.33
4.587357997894287,3.02,2.59,3.14,5.06
4.589123964309692,2.0,4.1,3.08,5.5
4.6005871295928955,1.29,5.18,2.64,5.95
4.602492094039917,0.63,6.0,2.33,6.46
4.616894960403442,0.09,6.79,2.24,7.15
4.618582010269165,-0.3,7.49,2.07,7.77
4.633460998535156,-0.57,7.94,1.96,8.19
4.635128974914551,-0.77,8.18,1.82,8.41
4.7257280349731445,-0.98,8.37,1.72,8.6
4.727392911911011,-1.16,8.4,1.59,8.62
4.737261056900024,-1.29,8.2,1.38,8.41
4.739065885543823,-1.32,7.78,1.2,7.98
4.750537157058716,-1.3,7.14,0.91,7.31
4.752172946929932,-1.31,6.4,0.67,6.56
4.766952037811279,-1.33,5.47,0.22,5.63
4.7688889503479,-1.37,4.5,-0.34,4.71
4.783458948135376,-1.44,2.17,-0.88,2.74
4.785247087478638,-1.62,0.84,-1.6,2.42
4.875903844833374,-1.91,-0.31,-2.35,3.04
4.877351999282837,-2.19,-1.18,-3.13,3.99
4.887432813644409,-2.61,-1.82,-4.57,5.56
4.889251947402954,-2.92,-2.45,-5.49,6.68
4.900542974472046,-3.22,-3.33,-5.5,7.19
4.902256965637207,-3.32,-4.61,-4.73,7.39
4.9170081615448,-3.24,-5.79,-4.53,8.03
4.9186670780181885,-3.62,-6.57,-5.53,9.31
4.933490991592407,-2.78,-7.06,-6.17,9.77
4.935190916061401,-0.68,-6.08,-7.16,9.41
5.025537967681885,0.22,-5.16,-8.23,9.71
5.027016878128052,0.67,-4.17,-6.52,7.76
5.03754997253418,-0.13,-3.95,-3.75,5.44
5.039336919784546,-1.29,-4.21,-1.9,4.79
5.050662040710449,-1.08,-4.08,-0.38,4.23
5.052704095840454,-0.03,-4.08,0.34,4.09
5.066853046417236,1.19,-4.03,0.56,4.23
5.068854093551636,2.08,-4.29,0.7,4.81
5.083436965942383,2.96,-4.65,1.47,5.7
5.085145950317383,4.0,-4.65,2.12,6.48
5.175358057022095,5.05,-4.49,2.69,7.27
5.176798105239868,5.79,-4.53,3.22,8.02
5.1872718334198,5.92,-4.73,3.82,8.48
5.189161062240601,5.18,-4.93,4.65,8.52
5.20071005821228,1.16,-4.46,4.81,6.66
5.202361822128296,-0.35,-3.33,4.88,5.91
5.217087984085083,-0.49,-2.47,4.77,5.39
5.218896150588989,-0.4,-0.86,4.31,4.41
5.233814001083374,-0.28,0.75,3.95,4.03
5.235962152481079,0.14,2.15,3.67,4.25
5.329399824142456,0.49,3.36,3.38,4.79
5.330919981002808,0.54,4.53,3.18,5.56
5.337450981140137,0.47,5.56,3.06,6.36
5.339301824569702,0.42,6.39,2.6,6.91
5.350584030151367,0.31,6.98,2.3,7.35
5.352369070053101,0.17,7.51,2.13,7.8
5.366947889328003,-0.02,7.88,2.21,8.18
5.368591070175171,-0.18,7.93,2.08,8.2
5.383413076400757,-0.35,7.74,1.98,7.99
5.38521409034729,-0.38,7.35,1.82,7.58
5.4753501415252686,-0.33,6.95,1.53,7.12
5.476835012435913,-0.38,6.18,0.98,6.26
5.487346887588501,-0.25,5.25,0.41,5.27
5.489185094833374,-0.21,4.25,-0.02,4.25
5.500610113143921,-0.57,3.73,-0.58,3.81
5.502392053604126,-1.12,3.24,-1.18,3.62
5.516987085342407,-1.71,2.02,-1.49,3.03
5.518640041351318,-2.25,0.53,-1.89,2.98
5.533538103103638,-2.67,-1.05,-1.9,3.44
5.53531289100647,-2.92,-2.2,-2.4,4.37
5.625895023345947,-2.79,-3.04,-4.09,5.8
5.62736701965332,-2.39,-3.25,-5.49,6.81
5.637355089187622,-1.75,-3.22,-6.32,7.3
5.639163017272949,-1.14,-3.73,-6.79,7.83
5.650663137435913,-0.95,-4.29,-6.18,7.58
5.652212858200073,-1.09,-4.48,-6.22,7.74
5.666981935501099,-1.23,-4.01,-6.33,7.59
