time,wx,wy,wz
0.003075838088989258,0.07,0.05,-0.06
0.004786968231201172,0.05,-0.02,-0.07
0.006403923034667969,0.03,-0.1,-0.08
0.01576685905456543,0.03,-0.11,-0.09
0.017326831817626953,0.0,-0.03,-0.09
0.01966691017150879,-0.02,0.01,-0.07
0.022072792053222656,-0.06,0.01,-0.05
0.024371862411499023,-0.1,-0.03,-0.05
0.026605844497680664,-0.1,-0.08,-0.08
0.029127836227416992,-0.06,-0.18,-0.11
0.07586002349853516,0.02,-0.35,-0.09
0.07742190361022949,0.08,-0.42,-0.02
0.07959794998168945,0.09,-0.33,0.04
0.0820150375366211,0.05,-0.21,0.02
0.09835481643676758,-0.01,-0.08,-0.06
0.10000276565551758,-0.07,0.05,-0.13
0.10239601135253906,-0.11,0.09,-0.16
0.10491800308227539,-0.15,0.0,-0.18
0.10713386535644531,-0.18,-0.15,-0.18
0.10939693450927734,-0.19,-0.32,-0.14
0.15531682968139648,-0.18,-0.48,-0.08
0.15753889083862305,-0.17,-0.56,-0.03
0.15903902053833008,-0.15,-0.54,0.01
0.16589689254760742,-0.11,-0.42,-0.01
0.1677079200744629,-0.06,-0.29,-0.07
0.1700758934020996,0.01,-0.15,-0.14
0.17235469818115234,0.07,0.0,-0.18
0.17490100860595703,0.12,0.11,-0.19
0.1771097183227539,0.15,0.16,-0.2
0.17989492416381836,0.14,0.13,-0.2
0.22448968887329102,0.11,0.02,-0.17
0.22666287422180176,0.06,-0.09,-0.13
0.22820281982421875,0.01,-0.16,-0.1
0.23143577575683594,-0.02,-0.19,-0.12
0.2331228256225586,-0.02,-0.18,-0.17
0.2481248378753662,0.02,-0.15,-0.24
0.2499408721923828,0.07,-0.13,-0.29
0.25223302841186523,0.11,-0.14,-0.31
0.25490474700927734,0.13,-0.15,-0.28
0.25699687004089355,0.12,-0.17,-0.21
0.3014068603515625,0.09,-0.18,-0.14
0.3037068843841553,0.04,-0.18,-0.1
0.3050968647003174,-0.01,-0.18,-0.09
0.31537294387817383,-0.05,-0.19,-0.07
0.31717491149902344,-0.1,-0.2,-0.05
0.31939172744750977,-0.14,-0.23,-0.03
0.32262372970581055,-0.15,-0.22,-0.02
0.3246188163757324,-0.13,-0.16,-0.02
0.3268547058105469,-0.09,-0.06,-0.02
0.32991695404052734,-0.05,0.04,-0.02
0.3753547668457031,-0.01,0.1,-0.02
0.3775167465209961,0.02,0.12,-0.02
0.3794269561767578,0.03,0.1,-0.02
0.3817758560180664,0.01,0.07,-0.05
0.39809274673461914,-0.01,0.03,-0.08
0.4001169204711914,-0.03,-0.01,-0.09
0.40227603912353516,-0.04,-0.01,-0.08
0.4046196937561035,-0.05,0.0,-0.05
0.40689897537231445,-0.04,0.02,-0.01
0.4091198444366455,-0.01,0.06,0.02
0.453948974609375,0.03,0.08,0.03
0.45606470108032227,0.06,0.08,0.02
0.45737290382385254,0.07,0.08,0.0
0.46501970291137695,0.06,0.08,-0.02
0.4669969081878662,0.03,0.07,-0.03
0.46958398818969727,0.0,0.08,-0.02
0.4717087745666504,-0.04,0.09,-0.01
0.4742088317871094,-0.06,0.11,0.01
0.4764738082885742,-0.07,0.15,0.02
0.47919368743896484,-0.06,0.19,0.04
0.5242819786071777,-0.04,0.22,0.04
0.5258278846740723,-0.03,0.23,0.05
0.5271797180175781,-0.02,0.23,0.06
0.531613826751709,-0.01,0.17,0.06
0.5335497856140137,-0.02,0.12,0.06
0.5355908870697021,-0.03,0.07,0.04
0.5376839637756348,-0.05,0.04,0.04
0.5398597717285156,-0.06,0.06,0.04
0.5420427322387695,-0.05,0.1,0.05
0.5446257591247559,-0.04,0.13,0.04
0.5891900062561035,-0.03,0.09,0.01
0.5906739234924316,-0.03,0.05,-0.01
0.5919878482818604,-0.05,0.03,-0.03
0.5984749794006348,-0.07,0.02,-0.04
0.6003270149230957,-0.08,0.03,-0.04
0.6026840209960938,-0.09,0.05,-0.02
0.6049900054931641,-0.07,0.06,0.03
0.6073148250579834,-0.04,0.11,0.08
0.6096019744873047,-0.01,0.1,0.12
0.6121907234191895,0.03,0.07,0.11
0.6566908359527588,0.04,0.04,0.08
0.658545970916748,0.02,-0.03,0.06
0.6599507331848145,-0.02,-0.1,0.06
0.6650447845458984,-0.04,-0.13,0.04
0.6669697761535645,-0.04,-0.11,0.03
0.6690828800201416,-0.03,-0.12,0.01
0.6713438034057617,0.0,-0.12,0.0
0.6736207008361816,0.03,-0.11,0.01
0.6759037971496582,0.05,-0.08,0.03
0.6781928539276123,0.07,-0.05,0.05
0.6813960075378418,0.06,-0.02,0.04
0.7252459526062012,0.03,0.01,0.01
0.7273788452148438,0.0,0.03,-0.03
0.729240894317627,-0.02,0.02,-0.04
0.731799840927124,-0.02,-0.01,-0.05
0.7337558269500732,-0.02,-0.04,-0.06
0.7358527183532715,0.0,-0.06,-0.05
0.7381010055541992,0.01,-0.07,-0.03
0.7403688430786133,0.02,-0.1,-0.01
0.7427718639373779,0.02,-0.11,0.0
0.7857968807220459,0.03,-0.1,-0.01
0.787726879119873,0.02,-0.06,-0.01
0.789219856262207,0.01,0.0,-0.02
0.7982230186462402,0.0,0.06,-0.03
0.7996349334716797,0.0,0.1,-0.03
0.8018548488616943,0.01,0.13,-0.04
0.8041367530822754,0.02,0.14,-0.04
0.8062667846679688,0.01,0.14,-0.03
0.8085570335388184,0.0,0.15,-0.02
0.8108828067779541,-0.04,0.18,-0.02
0.8553848266601562,-0.07,0.22,-0.03
0.8569369316101074,-0.11,0.27,-0.04
0.8582949638366699,-0.12,0.31,-0.04
0.8652248382568359,-0.13,0.36,-0.04
0.8667488098144531,-0.13,0.42,-0.04
0.8693089485168457,-0.12,0.48,-0.04
0.8714380264282227,-0.1,0.48,-0.03
0.8734989166259766,-0.07,0.41,-0.03
0.8757047653198242,-0.06,0.3,-0.03
0.8780338764190674,-0.06,0.23,-0.07
0.9215009212493896,-0.08,0.26,-0.12
0.9234399795532227,-0.08,0.36,-0.17
0.9248988628387451,-0.06,0.38,-0.16
0.9316940307617188,-0.02,0.6,-0.13
0.9332537651062012,0.01,0.63,-0.07
0.9357948303222656,-0.01,0.58,0.04
0.9380838871002197,-0.07,0.51,0.14
0.9403808116912842,-0.15,0.37,0.23
0.9427390098571777,-0.23,0.25,0.29
0.9452898502349854,-0.28,0.19,0.31
0.9877638816833496,-0.28,0.19,0.24
0.9891278743743896,-0.23,0.18,0.08
