time,ax,ay,az,atotal,wx,wy,wz,type,lon,lat
2022-12-08 21:21:35+00:00,-0.1734782608695652,-0.5757971014492753,0.3650724637681159,4.823660718523196,-0.19,0.04,-0.05,ankle,-123.17930728746626,49.26511246153489
2022-12-08 21:21:36+00:00,-0.169,0.6718571428571428,-0.2391428571428571,4.7666594704132885,-0.27,0.01,-0.03,ankle,-123.1793107288794,49.26511273161738
2022-12-08 21:21:37+00:00,-0.146865671641791,-0.8680597014925373,0.4291044776119403,4.722907323839435,-0.27,-0.04,-0.02,ankle,-123.17931287761324,49.26511523409311
2022-12-08 21:21:38+00:00,0.1851428571428572,0.7794285714285714,-0.0811428571428571,4.698219066229505,-0.19,-0.08,-0.02,ankle,-123.1793176327512,49.26511749085343
2022-12-08 21:21:39+00:00,-0.2696969696969697,-0.8165151515151515,-0.1951515151515151,4.692976290034626,-0.09,-0.09,-0.03,ankle,-123.17932266792528,49.26511908260709
2022-12-08 21:21:40+00:00,0.7344285714285714,0.6404285714285715,-0.0782857142857142,4.702663238674383,0.01,-0.08,-0.05,ankle,-123.17932240579535,49.26512082387178
2022-12-08 21:21:41+00:00,-1.1725714285714286,-0.7718571428571429,0.0668571428571428,4.720600306413138,0.08,-0.06,-0.07,ankle,-123.17931217554306,49.265120933735474
2022-12-08 21:21:42+00:00,1.0604285714285715,0.7324285714285713,-0.0979999999999999,4.738330655341983,0.11,-0.02,-0.09,ankle,-123.17930304001801,49.265122038206805
2022-12-08 21:21:43+00:00,-1.0829411764705883,-0.7474999999999999,-0.2902941176470588,4.745971053575213,0.1,0.02,-0.11,ankle,-123.17928282343561,49.26512665226324
2022-12-08 21:21:44+00:00,0.9652112676056338,0.6574647887323943,0.2509859154929577,4.736488559496556,0.07,0.04,-0.11,ankle,-123.1792607753935,49.26513066067985
2022-12-08 21:21:45+00:00,-1.210606060606061,-0.5637878787878788,-0.2883333333333333,4.710194582433822,0.01,0.03,-0.1,ankle,-123.17924444165111,49.26513386651431
2022-12-08 21:21:46+00:00,0.47609375,-0.2084375,0.4040625,4.673592906452004,-0.04,0.03,-0.08,ankle,-123.1792271686288,49.265134360255644
2022-12-08 21:21:47+00:00,-0.1382857142857143,0.4154285714285714,-0.5508571428571429,4.634581887272354,-0.06,0.04,-0.08,ankle,-123.17920856461136,49.26513139468519
2022-12-08 21:21:48+00:00,-0.0121212121212121,-0.9007575757575758,0.3195454545454545,4.601232759740856,-0.06,0.05,-0.08,ankle,-123.17918886752057,49.26512856927848
2022-12-08 21:21:49+00:00,0.4767187499999999,1.06765625,0.16828125,4.583284306442026,-0.04,0.06,-0.08,ankle,-123.1791724865252,49.26512484971686
2022-12-08 21:21:50+00:00,-0.9805714285714284,-0.8207142857142857,-0.1895714285714285,4.589440315153373,-0.02,0.03,-0.08,ankle,-123.17915258799786,49.265119783086554
2022-12-08 21:21:51+00:00,0.7000000000000001,0.3780952380952381,0.272063492063492,4.622304631866527,0.0,0.01,-0.08,ankle,-123.1791271037529,49.26511451189565
