time,latitude,longitude,ax,ay,az,atotal,wx,wy,wz,type
2022-12-08 21:23:28+00:00,49.26451648345725,-123.17795592199474,-0.28125,0.04022727272727273,-0.13011363636363638,3.836704545454545,-0.43,2.26,1.24,ankle
2022-12-08 21:23:29+00:00,49.26449885431274,-123.1779376116952,0.012976190476190474,-0.13821428571428573,-0.6746428571428572,3.206666666666667,-0.57,1.7,1.26,ankle
2022-12-08 21:23:30+00:00,49.264481103157294,-123.17791462678451,0.1695348837209302,-0.15895348837209303,0.0411627906976744,3.118720930232558,-0.84,1.11,1.22,ankle
2022-12-08 21:23:31+00:00,49.26446667564361,-123.17790438811174,-0.41011904761904766,-0.06999999999999999,0.2871428571428571,2.7183333333333333,-1.17,0.74,1.0,ankle
2022-12-08 21:23:32+00:00,49.26445242073746,-123.1778932199404,-0.06965116279069769,0.020813953488372092,0.36709302325581394,2.518488372093023,-1.53,0.78,0.87,ankle
2022-12-08 21:23:33+00:00,49.26443812121782,-123.1779010551846,0.16,-0.13959999999999997,-0.6224,2.6897333333333333,-1.84,1.08,0.94,ankle
2022-12-08 21:23:34+00:00,49.26442070140207,-123.17790065257512,-0.5388461538461539,-0.0955128205128205,0.705,4.805000000000001,-1.97,1.16,1.04,ankle
2022-12-08 21:23:35+00:00,49.26440543102793,-123.17791975417327,0.43347222222222226,-0.5213888888888889,-1.3094444444444444,4.708472222222222,-1.78,0.82,1.05,ankle
2022-12-08 21:23:36+00:00,49.26439446708216,-123.17792701459236,-0.9060256410256411,-0.19935897435897437,0.7403846153846154,4.801282051282051,-1.22,0.42,0.76,ankle
2022-12-08 21:23:37+00:00,49.26438485839089,-123.1779505227138,0.6883098591549296,-0.2819718309859155,-0.9646478873239436,4.8932394366197185,-0.54,-0.12,0.37,ankle
2022-12-08 21:23:38+00:00,49.264368775254425,-123.1779696952868,-1.3007894736842105,-0.5525,1.1180263157894736,6.316447368421053,0.01,-0.5,0.04,ankle
2022-12-08 21:23:39+00:00,49.264361543968,-123.1779890360571,0.4225675675675676,-0.475,-1.1474324324324323,4.950675675675676,0.22,-0.9,-0.14,ankle
2022-12-08 21:23:40+00:00,49.26435426761361,-123.17801511032984,-0.12881578947368422,-0.8571052631578947,1.346578947368421,4.116052631578947,-0.07,-1.44,-0.09,ankle
2022-12-08 21:23:41+00:00,49.26435196620306,-123.17804090406582,-0.03567567567567567,-1.0040540540540541,-0.28527027027027024,1.8967567567567565,-0.72,-1.54,0.01,ankle
2022-12-08 21:23:42+00:00,49.26434999914399,-123.17807632931952,0.04789473684210526,-0.4714473684210526,0.037631578947368405,1.4103947368421053,-1.23,-0.78,0.24,ankle
2022-12-08 21:23:43+00:00,49.26434347439093,-123.17810289917564,-0.0552,-0.05506666666666668,0.06746666666666667,1.1330666666666667,-1.39,0.15,0.43,ankle
2022-12-08 21:23:44+00:00,49.2643345968978,-123.178133434513,-0.14584415584415586,0.0861038961038961,-0.05675324675324674,1.0067532467532467,-1.13,0.8,0.51,ankle
2022-12-08 21:23:45+00:00,49.26433252882271,-123.17816950959616,-0.08684931506849315,0.03671232876712329,-0.12013698630136986,0.658082191780822,-0.63,0.98,0.5,ankle
