time,wx,wy,wz
1.34489107131958,1.4,0.65,3.17
1.3481090068817139,1.29,0.62,3.28
1.350330114364624,1.17,0.53,3.36
1.365295171737671,1.05,0.42,3.42
1.3668029308319092,0.96,0.33,3.46
1.455280065536499,0.9,0.25,3.47
1.4569299221038818,0.86,0.18,3.44
1.458371877670288,0.85,0.11,3.4
1.4614970684051514,0.83,0.06,3.34
1.4643161296844482,0.82,0.0,3.31
1.4658949375152588,0.79,-0.06,3.29
1.4685940742492676,0.75,-0.07,3.24
1.4711039066314697,0.71,-0.06,3.16
1.472681999206543,0.67,0.0,3.05
1.4751131534576416,0.61,0.11,2.91
1.5607669353485107,0.54,0.26,2.75
1.5632879734039307,0.48,0.44,2.63
1.5655200481414795,0.4,0.62,2.55
1.567755937576294,0.34,0.75,2.54
1.5702369213104248,0.3,0.82,2.58
1.572371006011963,0.3,0.8,2.62
1.5745160579681396,0.31,0.73,2.63
1.576796054840088,0.33,0.66,2.62
1.5804111957550049,0.35,0.61,2.62
1.582021951675415,0.37,0.56,2.63
1.6652131080627441,0.4,0.53,2.63
1.666572093963623,0.43,0.5,2.6
1.6679940223693848,0.46,0.47,2.57
1.6698620319366455,0.47,0.41,2.5
1.6717631816864014,0.49,0.28,2.38
1.6740400791168213,0.55,0.09,2.22
1.6761910915374756,0.68,-0.11,2.04
1.678900957107544,0.87,-0.28,1.88
1.6819431781768799,1.06,-0.39,1.74
1.6835150718688965,1.17,-0.41,1.57
1.7820241451263428,1.15,-0.36,1.31
1.7836620807647705,1.02,-0.26,0.99
1.7851300239562988,0.82,-0.29,0.62
1.7876222133636475,0.65,-0.47,0.27
1.7902419567108154,0.6,-0.7,-0.02
1.7920770645141602,0.69,-0.81,-0.21
1.7948710918426514,0.85,-0.83,-0.31
1.7979130744934082,0.95,-0.9,-0.39
1.7999651432037354,0.93,-1.0,-0.49
1.813781976699829,0.77,-1.02,-0.65
1.899914026260376,0.51,-0.9,-0.87
1.901555061340332,0.17,-0.67,-1.19
1.9030959606170654,-0.22,-0.36,-1.56
1.9054648876190186,-0.61,-0.04,-1.96
1.9078810214996338,-0.97,0.22,-2.33
1.9103450775146484,-1.26,0.44,-2.65
1.9126441478729248,-1.47,0.55,-2.9
1.9149930477142334,-1.58,0.6,-3.09
1.916729211807251,-1.59,0.58,-3.21
1.9194540977478027,-1.55,0.48,-3.28
1.9979488849639893,-1.47,0.3,-3.35
1.9997289180755615,-1.38,0.1,-3.39
2.0009701251983643,-1.31,-0.13,-3.43
2.003319025039673,-1.26,-0.32,-3.49
2.005605936050415,-1.22,-0.44,-3.54
2.0080270767211914,-1.19,-0.54,-3.59
2.0104119777679443,-1.18,-0.63,-3.67
2.0138051509857178,-1.17,-0.69,-3.74
2.015484094619751,-1.16,-0.72,-3.79
2.0356619358062744,-1.13,-0.76,-3.79
2.220283031463623,-1.08,-0.79,-3.74
2.2232940196990967,-1.0,-0.8,-3.67
2.225955009460449,-0.91,-0.81,-3.61
2.2299530506134033,-0.85,-0.79,-3.59
2.2332100868225098,-0.84,-0.73,-3.57
2.2352631092071533,-0.86,-0.65,-3.53
2.2498340606689453,-0.9,-0.56,-3.47
2.251995086669922,-0.96,-0.44,-3.41
2.2546560764312744,-1.03,-0.29,-3.39
2.258397102355957,-1.11,-0.07,-3.38
2.3705132007598877,-1.2,0.21,-3.36
2.3724849224090576,-1.3,0.52,-3.28
2.3742170333862305,-1.42,0.82,-3.13
2.3822450637817383,-1.54,1.02,-2.92
2.3840959072113037,-1.61,1.11,-2.67
2.386876106262207,-1.56,1.08,-2.4
2.389660120010376,-1.39,1.0,-2.12
2.3916308879852295,-1.14,0.94,-1.81
2.3941290378570557,-0.85,0.87,-1.49
2.3978378772735596,-0.53,0.77,-1.18
2.4891722202301025,-0.23,0.58,-0.93
2.4911129474639893,0.04,0.31,-0.72
2.492711067199707,0.25,0.0,-0.53
2.495511054992676,0.4,-0.28,-0.28
2.498710870742798,0.49,-0.41,0.08
2.5004220008850098,0.52,-0.39,0.46
2.5148541927337646,0.54,-0.34,0.79
2.5164520740509033,0.58,-0.33,1.04
2.5191650390625,0.65,-0.33,1.24
2.5205509662628174,0.77,-0.33,1.47
