time,latitude,longitude
2022-12-08 21:21:21.1600,49.26511743680836,-123.17931083433294
2022-12-08 21:21:22.1590,49.26511743680836,-123.17931083433294
2022-12-08 21:21:23.1550,49.26511148957549,-123.17931518411262
2022-12-08 21:21:24.1580,49.26510922243743,-123.17931435718936
2022-12-08 21:21:25.1590,49.26510927775183,-123.17932025257292
2022-12-08 21:21:26.1590,49.26510952953065,-123.17932146861723
2022-12-08 21:21:27.1570,49.26511179122117,-123.17932088350011
2022-12-08 21:21:28.1600,49.26511247562994,-123.17931926498606
2022-12-08 21:21:29.1590,49.26511247562994,-123.17931926498606
2022-12-08 21:21:30.1590,49.26511247562994,-123.17931926498606
2022-12-08 21:21:31.1610,49.26511247562994,-123.17931926498606
2022-12-08 21:21:32.1620,49.26511247562994,-123.17931926498606
2022-12-08 21:21:33.1610,49.26511175213266,-123.17931610972711
2022-12-08 21:21:34.1630,49.26511178022391,-123.17931118509146
2022-12-08 21:21:35.1570,49.265112555048155,-123.17929998911202
2022-12-08 21:21:36.1560,49.26511049922413,-123.17931202155869
2022-12-08 21:21:37.1650,49.265115479808536,-123.17931027120915
2022-12-08 21:21:38.1620,49.26511815586007,-123.17931735271503
2022-12-08 21:21:39.1610,49.26511893309608,-123.17932796522929
2022-12-08 21:21:40.1610,49.265122455272774,-123.17933237391772
2022-12-08 21:21:41.1650,49.265119939127835,-123.17931108081582
2022-12-08 21:21:42.1550,49.265118528621706,-123.17931412107535
2022-12-08 21:21:43.1580,49.26512725790307,-123.17928465489531
2022-12-08 21:21:44.1650,49.265131463262,-123.17925506109376
2022-12-08 21:21:45.1620,49.265136578607425,-123.17924538093102
2022-12-08 21:21:46.1580,49.26513781956743,-123.17922849962395
2022-12-08 21:21:47.1540,49.26513125452146,-123.17920965768471
2022-12-08 21:21:48.1580,49.26512946343339,-123.17918555142514
2022-12-08 21:21:49.1570,49.265126196785545,-123.17917600405718
2022-12-08 21:21:50.1590,49.265119987647154,-123.17915817371548
2022-12-08 21:21:51.1580,49.26511269134681,-123.17912399469205
2022-12-08 21:21:52.1640,49.26511026163512,-123.17910457047117
2022-12-08 21:21:53.1580,49.2651077925137,-123.17908211858487
2022-12-08 21:21:54.1600,49.26510437648222,-123.1790618681066
2022-12-08 21:21:55.1630,49.26510618697298,-123.17903386149709
2022-12-08 21:21:56.1650,49.26510560224987,-123.1790217969129
2022-12-08 21:21:57.1590,49.265106709006695,-123.17898890542953
2022-12-08 21:21:58.1620,49.26510993446007,-123.17898040158536
2022-12-08 21:21:59.1590,49.26510991712613,-123.17896602842836
2022-12-08 21:22:00.1580,49.26511189814606,-123.17895483079889
2022-12-08 21:22:01.1630,49.26511367820012,-123.17892740021352
2022-12-08 21:22:02.1580,49.26511328215758,-123.17891390470125
2022-12-08 21:22:03.1580,49.26511138353908,-123.17888828976253
2022-12-08 21:22:04.1600,49.265106673390584,-123.17886923421612
2022-12-08 21:22:05.1630,49.265103302774236,-123.17883775298108
2022-12-08 21:22:06.1630,49.265104349510324,-123.17881560982372
2022-12-08 21:22:07.1530,49.26510422637092,-123.1787933495477
2022-12-08 21:22:08.1600,49.26509727567457,-123.17876286738208
2022-12-08 21:22:09.1590,49.26509377259894,-123.178744971983
2022-12-08 21:22:10.1590,49.26509517615657,-123.17871749749345
2022-12-08 21:22:11.1540,49.26509279193951,-123.17869305724903
2022-12-08 21:22:12.1620,49.26509067074038,-123.17866880490702
2022-12-08 21:22:13.1630,49.26508913042162,-123.17864466746126
2022-12-08 21:22:14.1600,49.26508658742951,-123.17862601271581
2022-12-08 21:22:15.1590,49.26508533522501,-123.17859896395575
2022-12-08 21:22:16.1610,49.26508427836319,-123.17857621887605
2022-12-08 21:22:17.1630,49.26508332798246,-123.17855547225882
2022-12-08 21:22:18.1630,49.265078039827365,-123.178524004795
2022-12-08 21:22:19.1620,49.26508016727281,-123.17850531432869
2022-12-08 21:22:20.1610,49.26508189120661,-123.17848243680112
2022-12-08 21:22:21.1600,49.26508072682941,-123.17846329218324
2022-12-08 21:22:22.1550,49.26508151416293,-123.17844082910536
2022-12-08 21:22:23.1580,49.26508094436619,-123.1784114727464
2022-12-08 21:22:24.1620,49.26508013054478,-123.17838865290005
2022-12-08 21:22:25.1510,49.265077469280186,-123.17836602851136
2022-12-08 21:22:26.1560,49.265083003923465,-123.17834392363032
2022-12-08 21:22:27.1540,49.26508018572998,-123.17832198665172
2022-12-08 21:22:28.1600,49.265080440909315,-123.178298612524
2022-12-08 21:22:29.1530,49.26508308598806,-123.17827715204271
2022-12-08 21:22:30.1630,49.26508117364861,-123.17825646149815
2022-12-08 21:22:31.1610,49.265078996432564,-123.17823518524682
2022-12-08 21:22:32.1620,49.265078595329406,-123.17821469042653
2022-12-08 21:22:33.1610,49.26507779092816,-123.17819439330701
2022-12-08 21:22:34.1600,49.26508022362403,-123.17817170089957
2022-12-08 21:22:35.1640,49.265083458407496,-123.17815111687311
2022-12-08 21:22:36.1630,49.26508123911011,-123.17813042217362
2022-12-08 21:22:37.1590,49.26507812378454,-123.17810655930424
2022-12-08 21:22:38.1600,49.265080030292204,-123.17808316077993
2022-12-08 21:22:39.1600,49.2650797904467,-123.17806034808984
2022-12-08 21:22:40.1630,49.26508115917232,-123.17803868971339
2022-12-08 21:22:41.1630,49.265080648811725,-123.17802212949051
2022-12-08 21:22:42.1580,49.26508022856147,-123.17801409268912
2022-12-08 21:22:43.1590,49.26508319477573,-123.17800199660236
2022-12-08 21:22:44.1560,49.2650771380312,-123.1780118830238
